filename,last_update_time,success,process_time
StockDetail_6962_奕力-KY.xls,NEVER,true,2025-08-30 14:09:55
StockDetail_6996_力領科技.xls,NEVER,false,2025-08-30 14:10:08
StockDetail_6997_博弘.xls,NEVER,true,2025-08-30 14:11:50
StockDetail_7547_碩網.xls,NEVER,false,2025-08-30 14:12:03
StockDetail_7703_銳澤.xls,NEVER,false,2025-08-30 14:13:44
StockDetail_7704_明遠精密.xls,NEVER,true,2025-08-30 14:15:25
StockDetail_7705_三商餐飲.xls,NEVER,true,2025-08-30 14:15:38
StockDetail_7708_全家餐飲.xls,NEVER,false,2025-08-30 14:15:52
StockDetail_7709_榮田.xls,NEVER,true,2025-08-30 14:17:33
StockDetail_7712_博盛半導體.xls,NEVER,false,2025-08-30 14:17:46
StockDetail_7713_威力德生醫.xls,NEVER,false,2025-08-30 14:19:27
StockDetail_7722_LINEPAY.xls,NEVER,false,2025-08-30 14:21:08
StockDetail_7728_光焱科技.xls,NEVER,false,2025-08-30 14:22:50
StockDetail_7732_金興精密.xls,NEVER,false,2025-08-30 14:24:31
StockDetail_7734_印能科技.xls,NEVER,true,2025-08-30 14:26:12
StockDetail_7736_虎山.xls,NEVER,true,2025-08-30 14:26:26
StockDetail_7737_凱鈿.xls,NEVER,true,2025-08-30 14:26:39
StockDetail_7747_昕奇雲端.xls,NEVER,true,2025-08-30 14:26:52
StockDetail_7749_意騰-KY.xls,NEVER,true,2025-08-30 14:27:05
StockDetail_7765_中華資安.xls,NEVER,true,2025-08-30 14:27:19
StockDetail_7769_鴻勁.xls,NEVER,false,2025-08-30 14:27:33
StockDetail_7794_宏碁智新.xls,NEVER,true,2025-08-30 14:29:14
StockDetail_7805_威聯通.xls,NEVER,false,2025-08-30 14:29:29
StockDetail_8016_矽創.xls,NEVER,false,2025-08-30 14:31:10
StockDetail_8045_達運光電.xls,NEVER,false,2025-08-30 14:32:51
StockDetail_8272_全景軟體.xls,NEVER,false,2025-08-30 14:34:32
StockDetail_8299_群聯.xls,NEVER,true,2025-08-30 14:36:13
StockDetail_8454_富邦媒.xls,NEVER,true,2025-08-30 14:36:27
StockDetail_9914_美利達.xls,NEVER,true,2025-08-30 14:36:40
StockDetail_9917_中保科.xls,NEVER,true,2025-08-30 14:36:57
StockDetail_9921_巨大.xls,NEVER,false,2025-08-30 14:37:10
